Token;Label;AA_Correction;AA_Quaero;CF_Correction;CF_Quaero;CKP_Correction;CKP_Quaero;DN_Correction;DN_Quaero;LM_Correction;LM_Quaero;MB_Correction;MB_Quaero
le;;;;;;;;;;;;;
Quartier;LOC;;;;;;;;;;;;
latin;LOC;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
J';;;;;;;;;;;;;
ai;;;;;;;;;;;;;
essayé;;;;;;;;;;;;;
bien;;;;;;;;;;;;;
souvent;;;;;;;;;;;;;
0;;;;;;;;;;;;;
depuis;;;;;;;;;;;;;
0;;;;;;;;;;;;;
de;;;;;;;;;;;;;
me;;;;;;;;;;;;;
rappeler;;;;;;;;;;;;;
l';;;;;;;;;;;;;
impression;;;;;;;;;;;;;
exacte;;;;;;;;;;;;;
que;;;;;;;;;;;;;
me;;;;;;;;;;;;;
fit;;;;;;;;;;;;;
Paris;LOC;;;;;;;;;;;;
cette;;;;;;;;;;;;;
nuit;;;;;;;;;;;;;
-là;;;;;;;;;;;;;
:;;;;;;;;;;;;;
mais;;;;;;;;;;;;;
les;;;;;;;;;;;;;
choses;;;;;;;;;;;;;
0;;;;;;;;;;;;;
comme;;;;;;;;;;;;;
les;;;;;;;;;;;;;
hommes;;;;;;;;;;;;;
0;;;;;;;;;;;;;
prennent;;;;;;;;;;;;;
0;;;;;;;;;;;;;
la;;;;;;;;;;;;;
première;;;;;;;;;;;;;
fois;;;;;;;;;;;;;
que;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
les;;;;;;;;;;;;;
voyons;;;;;;;;;;;;;
0;;;;;;;;;;;;;
une;;;;;;;;;;;;;
physionomie;;;;;;;;;;;;;
toute;;;;;;;;;;;;;
particulière;;;;;;;;;;;;;
0;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
ensuite;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
leur;;;;;;;;;;;;;
trouvons;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Le;;;;;;;;;;;;;
Paris;LOC;;;;;;;;;;;;
de;;;;;;;;;;;;;
mon;;;;;;;;;;;;;
arrivée;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
n';;;;;;;;;;;;;
ai;;;;;;;;;;;;;
jamais;;;;;;;;;;;;;
pu;;;;;;;;;;;;;
me;;;;;;;;;;;;;
le;;;;;;;;;;;;;
reconstruire;;;;;;;;;;;;;
.;;;;;;;;;;;;;
C';;;;;;;;;;;;;
est;;;;;;;;;;;;;
comme;;;;;;;;;;;;;
une;;;;;;;;;;;;;
ville;;;;;;;;;;;;;
brumeuse;;;;;;;;;;;;;
que;;;;;;;;;;;;;
j';;;;;;;;;;;;;
aurais;;;;;;;;;;;;;
traversée;;;;;;;;;;;;;
tout;;;;;;;;;;;;;
enfant;;;;;;;;;;;;;
0;;;;;;;;;;;;;
il;;;;;;;;;;;;;
y;;;;;;;;;;;;;
a;;;;;;;;;;;;;
des;;;;;;;;;;;;;
années;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
où;;;;;;;;;;;;;
je;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
serais;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
retourné;;;;;;;;;;;;;
depuis;;;;;;;;;;;;;
lors;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Je;;;;;;;;;;;;;
me;;;;;;;;;;;;;
souviens;;;;;;;;;;;;;
d';;;;;;;;;;;;;
un;;;;;;;;;;;;;
pont;;;;;;;;;;;;;
de;;;;;;;;;;;;;
bois;;;;;;;;;;;;;
sur;;;;;;;;;;;;;
une;;;;;;;;;;;;;
rivière;;;;;;;;;;;;;
toute;;;;;;;;;;;;;
noire;;;;;;;;;;;;;
0;;;;;;;;;;;;;
puis;;;;;;;;;;;;;
d';;;;;;;;;;;;;
un;;;;;;;;;;;;;
grand;;;;;;;;;;;;;
quai;;;;;;;;;;;;;
désert;;;;;;;;;;;;;
et;;;;;;;;;;;;;
d';;;;;;;;;;;;;
un;;;;;;;;;;;;;
immense;;;;;;;;;;;;;
jardin;;;;;;;;;;;;;
au;;;;;;;;;;;;;
long;;;;;;;;;;;;;
de;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
quai;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Nous;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
arrêtâmes;;;;;;;;;;;;;
un;;;;;;;;;;;;;
moment;;;;;;;;;;;;;
devant;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
jardin;;;;;;;;;;;;;
.;;;;;;;;;;;;;
À;;;;;;;;;;;;;
travers;;;;;;;;;;;;;
les;;;;;;;;;;;;;
grilles;;;;;;;;;;;;;
qui;;;;;;;;;;;;;
le;;;;;;;;;;;;;
bordaient;;;;;;;;;;;;;
0;;;;;;;;;;;;;
on;;;;;;;;;;;;;
voyait;;;;;;;;;;;;;
confusément;;;;;;;;;;;;;
des;;;;;;;;;;;;;
huttes;;;;;;;;;;;;;
0;;;;;;;;;;;;;
des;;;;;;;;;;;;;
pelouses;;;;;;;;;;;;;
0;;;;;;;;;;;;;
des;;;;;;;;;;;;;
flaques;;;;;;;;;;;;;
d';;;;;;;;;;;;;
eau;;;;;;;;;;;;;
0;;;;;;;;;;;;;
des;;;;;;;;;;;;;
arbres;;;;;;;;;;;;;
luisants;;;;;;;;;;;;;
de;;;;;;;;;;;;;
givre;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
«;;;;;;;;;;;;;
C';;;;;;;;;;;;;
est;;;;;;;;;;;;;
le;;;;;;;;;;;;;
Jardin;LOC;;;;;;;;;;;;
des;LOC;;;;;;;;;;;;
plantes;LOC;;;;;;;;;;;;
0;;;;;;;;;;;;;
me;;;;;;;;;;;;;
dit;;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
.;;;;;;;;;;;;;
Il;;;;;;;;;;;;;
y;;;;;;;;;;;;;
a;;;;;;;;;;;;;
là;;;;;;;;;;;;;
une;;;;;;;;;;;;;
quantité;;;;;;;;;;;;;
considérable;;;;;;;;;;;;;
d';;;;;;;;;;;;;
ours;;;;;;;;;;;;;
blancs;;;;;;;;;;;;;
0;;;;;;;;;;;;;
de;;;;;;;;;;;;;
singes;;;;;;;;;;;;;
0;;;;;;;;;;;;;
de;;;;;;;;;;;;;
boas;;;;;;;;;;;;;
0;;;;;;;;;;;;;
d';;;;;;;;;;;;;
hippopotames;;;;;;;;;;;;;
...;;;;;;;;;;;;;
»;;;;;;;;;;;;;
En;;;;;;;;;;;;;
effet;;;;;;;;;;;;;
0;;;;;;;;;;;;;
cela;;;;;;;;;;;;;
sentait;;;;;;;;;;;;;
le;;;;;;;;;;;;;
fauve;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
0;;;;;;;;;;;;;
par;;;;;;;;;;;;;
moments;;;;;;;;;;;;;
0;;;;;;;;;;;;;
un;;;;;;;;;;;;;
cri;;;;;;;;;;;;;
aigu;;;;;;;;;;;;;
0;;;;;;;;;;;;;
un;;;;;;;;;;;;;
rauque;;;;;;;;;;;;;
rugissement;;;;;;;;;;;;;
0;;;;;;;;;;;;;
sortaient;;;;;;;;;;;;;
de;;;;;;;;;;;;;
cette;;;;;;;;;;;;;
ombre;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Moi;;;;;;;;;;;;;
0;;;;;;;;;;;;;
serré;;;;;;;;;;;;;
contre;;;;;;;;;;;;;
mon;;;;;;;;;;;;;
frère;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
regardais;;;;;;;;;;;;;
de;;;;;;;;;;;;;
tous;;;;;;;;;;;;;
mes;;;;;;;;;;;;;
yeux;;;;;;;;;;;;;
à;;;;;;;;;;;;;
travers;;;;;;;;;;;;;
les;;;;;;;;;;;;;
grilles;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
mêlant;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
un;;;;;;;;;;;;;
même;;;;;;;;;;;;;
sentiment;;;;;;;;;;;;;
de;;;;;;;;;;;;;
terreur;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
Paris;LOC;;;;;;;;;;;;
inconnu;;;;;;;;;;;;;
";";;;;;;;;;;;;;
où;;;;;;;;;;;;;
j';;;;;;;;;;;;;
arrivais;;;;;;;;;;;;;
de;;;;;;;;;;;;;
nuit;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
jardin;;;;;;;;;;;;;
mystérieux;;;;;;;;;;;;;
0;;;;;;;;;;;;;
il;;;;;;;;;;;;;
me;;;;;;;;;;;;;
semblait;;;;;;;;;;;;;
que;;;;;;;;;;;;;
je;;;;;;;;;;;;;
venais;;;;;;;;;;;;;
de;;;;;;;;;;;;;
débarquer;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
une;;;;;;;;;;;;;
grande;;;;;;;;;;;;;
caverne;;;;;;;;;;;;;
noire;;;;;;;;;;;;;
0;;;;;;;;;;;;;
pleine;;;;;;;;;;;;;
de;;;;;;;;;;;;;
bêtes;;;;;;;;;;;;;
féroces;;;;;;;;;;;;;
qui;;;;;;;;;;;;;
allaient;;;;;;;;;;;;;
se;;;;;;;;;;;;;
ruer;;;;;;;;;;;;;
sur;;;;;;;;;;;;;
moi;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Heureusement;;;;;;;;;;;;;
que;;;;;;;;;;;;;
je;;;;;;;;;;;;;
n';;;;;;;;;;;;;
étais;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
seul;;;;;;;;;;;;;
:;;;;;;;;;;;;;
j';;;;;;;;;;;;;
avais;;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
pour;;;;;;;;;;;;;
me;;;;;;;;;;;;;
défendre;;;;;;;;;;;;;
...;;;;;;;;;;;;;
Ah;MISC;;;;;;;;;;;;
!;MISC;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
0;;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
!;;;;;;;;;;;;;
Pourquoi;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
t';;;;;;;;;;;;;
ai;;;;;;;;;;;;;
-je;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
toujours;;;;;;;;;;;;;
eu;;;;;;;;;;;;;
?;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Nous;;;;;;;;;;;;;
marchâmes;;;;;;;;;;;;;
encore;;;;;;;;;;;;;
longtemps;;;;;;;;;;;;;
0;;;;;;;;;;;;;
longtemps;;;;;;;;;;;;;
0;;;;;;;;;;;;;
par;;;;;;;;;;;;;
des;;;;;;;;;;;;;
rues;;;;;;;;;;;;;
noires;;;;;;;;;;;;;
0;;;;;;;;;;;;;
interminables;;;;;;;;;;;;;
";";;;;;;;;;;;;;
puis;;;;;;;;;;;;;
0;;;;;;;;;;;;;
tout;;;;;;;;;;;;;
à;;;;;;;;;;;;;
coup;;;;;;;;;;;;;
0;;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
s';;;;;;;;;;;;;
arrêta;;;;;;;;;;;;;
sur;;;;;;;;;;;;;
une;;;;;;;;;;;;;
petite;;;;;;;;;;;;;
place;;;;;;;;;;;;;
où;;;;;;;;;;;;;
il;;;;;;;;;;;;;
y;;;;;;;;;;;;;
avait;;;;;;;;;;;;;
une;;;;;;;;;;;;;
église;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
«;;;;;;;;;;;;;
Nous;;;;;;;;;;;;;
voici;;;;;;;;;;;;;
à;;;;;;;;;;;;;
Saint-Germain-des-Près;LOC;;;;;;;;;;;;
0;;;;;;;;;;;;;
me;;;;;;;;;;;;;
dit;;;;;;;;;;;;;
-il;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Notre;;;;;;;;;;;;;
chambre;;;;;;;;;;;;;
est;;;;;;;;;;;;;
là;;;;;;;;;;;;;
0;;;;;;;;;;;;;
haut;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
–;;;;;;;;;;;;;
Comment;;;;;;;;;;;;;
!;;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
!;;;;;;;;;;;;;
...;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
le;;;;;;;;;;;;;
clocher;;;;;;;;;;;;;
?;;;;;;;;;;;;;
...;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
–;;;;;;;;;;;;;
Dans;;;;;;;;;;;;;
le;;;;;;;;;;;;;
clocher;;;;;;;;;;;;;
même;;;;;;;;;;;;;
...;;;;;;;;;;;;;
C';;;;;;;;;;;;;
est;;;;;;;;;;;;;
très;;;;;;;;;;;;;
commode;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
savoir;;;;;;;;;;;;;
l';;;;;;;;;;;;;
heure;;;;;;;;;;;;;
.;;;;;;;;;;;;;
»;;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
exagérait;;;;;;;;;;;;;
un;;;;;;;;;;;;;
peu;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Il;;;;;;;;;;;;;
habitait;;;;;;;;;;;;;
0;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
la;;;;;;;;;;;;;
maison;;;;;;;;;;;;;
à;;;;;;;;;;;;;
côté;;;;;;;;;;;;;
de;;;;;;;;;;;;;
l';;;;;;;;;;;;;
église;;;;;;;;;;;;;
0;;;;;;;;;;;;;
une;;;;;;;;;;;;;
petite;;;;;;;;;;;;;
mansarde;;;;;;;;;;;;;
au;;;;;;;;;;;;;
cinquième;;;;;;;;;;;;;
ou;;;;;;;;;;;;;
sixième;;;;;;;;;;;;;
étage;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
sa;;;;;;;;;;;;;
fenêtre;;;;;;;;;;;;;
ouvrait;;;;;;;;;;;;;
sur;;;;;;;;;;;;;
le;;;;;;;;;;;;;
clocher;LOC;;;;;;;;;;;;
de;LOC;;;;;;;;;;;;
Saint-Germain;LOC;;;;;;;;;;;;
0;;;;;;;;;;;;;
juste;;;;;;;;;;;;;
à;;;;;;;;;;;;;
la;;;;;;;;;;;;;
hauteur;;;;;;;;;;;;;
du;;;;;;;;;;;;;
cadran;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
En;;;;;;;;;;;;;
entrant;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
poussai;;;;;;;;;;;;;
un;;;;;;;;;;;;;
cri;;;;;;;;;;;;;
de;;;;;;;;;;;;;
joie;;;;;;;;;;;;;
.;;;;;;;;;;;;;
«;;;;;;;;;;;;;
Du;;;;;;;;;;;;;
feu;;;;;;;;;;;;;
!;;;;;;;;;;;;;
quel;;;;;;;;;;;;;
bonheur;;;;;;;;;;;;;
!;;;;;;;;;;;;;
»;;;;;;;;;;;;;
Et;;;;;;;;;;;;;
tout;;;;;;;;;;;;;
de;;;;;;;;;;;;;
suite;;;;;;;;;;;;;
je;;;;;;;;;;;;;
courus;;;;;;;;;;;;;
à;;;;;;;;;;;;;
la;;;;;;;;;;;;;
cheminée;;;;;;;;;;;;;
présenter;;;;;;;;;;;;;
mes;;;;;;;;;;;;;
pieds;;;;;;;;;;;;;
à;;;;;;;;;;;;;
la;;;;;;;;;;;;;
flamme;;;;;;;;;;;;;
0;;;;;;;;;;;;;
au;;;;;;;;;;;;;
risque;;;;;;;;;;;;;
de;;;;;;;;;;;;;
fondre;;;;;;;;;;;;;
les;;;;;;;;;;;;;
caoutchoucs;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Alors;;;;;;;;;;;;;
seulement;;;;;;;;;;;;;
0;;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
s';;;;;;;;;;;;;
aperçut;;;;;;;;;;;;;
de;;;;;;;;;;;;;
l';;;;;;;;;;;;;
étrangeté;;;;;;;;;;;;;
de;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
chaussure;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Cela;;;;;;;;;;;;;
le;;;;;;;;;;;;;
fit;;;;;;;;;;;;;
beaucoup;;;;;;;;;;;;;
rire;;;;;;;;;;;;;
.;;;;;;;;;;;;;
«;;;;;;;;;;;;;
Mon;;;;;;;;;;;;;
cher;;;;;;;;;;;;;
0;;;;;;;;;;;;;
me;;;;;;;;;;;;;
dit;;;;;;;;;;;;;
-il;;;;;;;;;;;;;
0;;;;;;;;;;;;;
il;;;;;;;;;;;;;
y;;;;;;;;;;;;;
a;;;;;;;;;;;;;
une;;;;;;;;;;;;;
foule;;;;;;;;;;;;;
d';;;;;;;;;;;;;
hommes;;;;;;;;;;;;;
célèbres;;;;;;;;;;;;;
qui;;;;;;;;;;;;;
sont;;;;;;;;;;;;;
arrivés;;;;;;;;;;;;;
à;;;;;;;;;;;;;
Paris;LOC;;;;;;;;;;;;
en;;;;;;;;;;;;;
sabots;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
qui;;;;;;;;;;;;;
s';;;;;;;;;;;;;
en;;;;;;;;;;;;;
vantent;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Toi;;;;;;;;;;;;;
0;;;;;;;;;;;;;
tu;;;;;;;;;;;;;
pourras;;;;;;;;;;;;;
dire;;;;;;;;;;;;;
que;;;;;;;;;;;;;
tu;;;;;;;;;;;;;
y;;;;;;;;;;;;;
es;;;;;;;;;;;;;
arrivé;;;;;;;;;;;;;
en;;;;;;;;;;;;;
caoutchoucs;;;;;;;;;;;;;
:;;;;;;;;;;;;;
c';;;;;;;;;;;;;
est;;;;;;;;;;;;;
bien;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
original;;;;;;;;;;;;;
.;;;;;;;;;;;;;
En;;;;;;;;;;;;;
attendant;;;;;;;;;;;;;
0;;;;;;;;;;;;;
mets;;;;;;;;;;;;;
ces;;;;;;;;;;;;;
pantoufles;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
entamons;;;;;;;;;;;;;
le;;;;;;;;;;;;;
pâté;;;;;;;;;;;;;
.;;;;;;;;;;;;;
»;;;;;;;;;;;;;
Disant;;;;;;;;;;;;;
cela;;;;;;;;;;;;;
0;;;;;;;;;;;;;
le;;;;;;;;;;;;;
bon;;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
roulait;;;;;;;;;;;;;
devant;;;;;;;;;;;;;
le;;;;;;;;;;;;;
feu;;;;;;;;;;;;;
une;;;;;;;;;;;;;
petite;;;;;;;;;;;;;
table;;;;;;;;;;;;;
qui;;;;;;;;;;;;;
attendait;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
un;;;;;;;;;;;;;
coin;;;;;;;;;;;;;
0;;;;;;;;;;;;;
toute;;;;;;;;;;;;;
servie;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
II;PER;;;;;;;;;;;;
--;;;;;;;;;;;;;
DE;PER;;;;;;;;;;;;
LA;PER;;;;;;;;;;;;
PART;PER;;;;;;;;;;;;
DU;PER;;;;;;;;;;;;
CURE;PER;;;;;;;;;;;;
DE;PER;;;;;;;;;;;;
SAINT-NIZIER;PER;;;;;;;;;;;;
"
";PER;;;;;;;;;;;;
Dieu;PER;;;;;;;;;;;;
!;PER;;;;;;;;;;;;
qu';;;;;;;;;;;;;
on;;;;;;;;;;;;;
était;;;;;;;;;;;;;
bien;;;;;;;;;;;;;
cette;;;;;;;;;;;;;
nuit;;;;;;;;;;;;;
-là;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
la;;;;;;;;;;;;;
chambre;;;;;;;;;;;;;
de;;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
!;;;;;;;;;;;;;
Quels;;;;;;;;;;;;;
joyeux;;;;;;;;;;;;;
reflets;;;;;;;;;;;;;
clairs;;;;;;;;;;;;;
la;;;;;;;;;;;;;
cheminée;;;;;;;;;;;;;
envoyait;;;;;;;;;;;;;
sur;;;;;;;;;;;;;
notre;;;;;;;;;;;;;
nappe;;;;;;;;;;;;;
!;;;;;;;;;;;;;
Et;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
vieux;;;;;;;;;;;;;
vin;;;;;;;;;;;;;
cacheté;;;;;;;;;;;;;
0;;;;;;;;;;;;;
comme;;;;;;;;;;;;;
il;;;;;;;;;;;;;
sentait;;;;;;;;;;;;;
les;;;;;;;;;;;;;
violettes;;;;;;;;;;;;;
!;;;;;;;;;;;;;
Et;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
pâté;;;;;;;;;;;;;
0;;;;;;;;;;;;;
quelle;;;;;;;;;;;;;
belle;;;;;;;;;;;;;
croûte;;;;;;;;;;;;;
en;;;;;;;;;;;;;
or;;;;;;;;;;;;;
bruni;PER;;;;;;;;;;;;
il;;;;;;;;;;;;;
vous;;;;;;;;;;;;;
avait;;;;;;;;;;;;;
!;;;;;;;;;;;;;
Ah;MISC;;;;;;;;;;;;
!;MISC;;;;;;;;;;;;
de;;;;;;;;;;;;;
ces;;;;;;;;;;;;;
pâtés;;;;;;;;;;;;;
-là;;;;;;;;;;;;;
0;;;;;;;;;;;;;
on;;;;;;;;;;;;;
n';;;;;;;;;;;;;
en;;;;;;;;;;;;;
fait;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
maintenant;;;;;;;;;;;;;
";";;;;;;;;;;;;;
tu;;;;;;;;;;;;;
n';;;;;;;;;;;;;
en;;;;;;;;;;;;;
boiras;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
jamais;;;;;;;;;;;;;
de;;;;;;;;;;;;;
ces;;;;;;;;;;;;;
vins;;;;;;;;;;;;;
-là;;;;;;;;;;;;;
0;;;;;;;;;;;;;
mon;;;;;;;;;;;;;
pauvre;;;;;;;;;;;;;
Eyssette;LOC;;;;;;;;;;;;
!;;;;;;;;;;;;;
De;;;;;;;;;;;;;
l';;;;;;;;;;;;;
autre;;;;;;;;;;;;;
côté;;;;;;;;;;;;;
de;;;;;;;;;;;;;
la;;;;;;;;;;;;;
table;;;;;;;;;;;;;
0;;;;;;;;;;;;;
en;;;;;;;;;;;;;
face;;;;;;;;;;;;;
0;;;;;;;;;;;;;
tout;;;;;;;;;;;;;
en;;;;;;;;;;;;;
face;;;;;;;;;;;;;
de;;;;;;;;;;;;;
moi;;;;;;;;;;;;;
0;;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
me;;;;;;;;;;;;;
versait;;;;;;;;;;;;;
à;;;;;;;;;;;;;
boire;;;;;;;;;;;;;
:;;;;;;;;;;;;;
et;;;;;;;;;;;;;
0;;;;;;;;;;;;;
chaque;;;;;;;;;;;;;
fois;;;;;;;;;;;;;
que;;;;;;;;;;;;;
je;;;;;;;;;;;;;
levais;;;;;;;;;;;;;
les;;;;;;;;;;;;;
yeux;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
voyais;;;;;;;;;;;;;
son;;;;;;;;;;;;;
regard;;;;;;;;;;;;;
tendre;;;;;;;;;;;;;
comme;;;;;;;;;;;;;
celui;;;;;;;;;;;;;
d';;;;;;;;;;;;;
une;;;;;;;;;;;;;
mère;;;;;;;;;;;;;
0;;;;;;;;;;;;;
qui;;;;;;;;;;;;;
me;;;;;;;;;;;;;
riait;;;;;;;;;;;;;
doucement;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Moi;MISC;;;;;;;;;;;;
0;MISC;;;;;;;;;;;;MISC
j';MISC;;;;;;;;;;;;
étais;MISC;;;;;;;;;;;;
si;MISC;;;;;;;;;;;;
heureux;MISC;;;;;;;;;;;;
d';MISC;;;;;;;;;;;;
être;MISC;;;;;;;;;;;;
là;MISC;;;;;;;;;;;;
que;MISC;;;;;;;;;;;;
j';MISC;;;;;;;;;;;;
en;MISC;;;;;;;;;;;;
avais;MISC;;;;;;;;;;;;
positivement;MISC;;;;;;;;;;;;
la;MISC;;;;;;;;;;;;
fièvre;MISC;;;;;;;;;;;;
.;;;;;;;;;;;;;
Je;;;;;;;;;;;;;
parlais;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
parlais;;;;;;;;;;;;;
!;;;;;;;;;;;;;
«;;;;;;;;;;;;;
Mange;;;;;;;;;;;;;
donc;;;;;;;;;;;;;
»;;;;;;;;;;;;;
0;;;;;;;;;;;;;
me;;;;;;;;;;;;;
disait;;;;;;;;;;;;;
Jacques;PER;;;;;;;;;;;;
en;;;;;;;;;;;;;
me;;;;;;;;;;;;;
remplissant;;;;;;;;;;;;;
mon;;;;;;;;;;;;;
assiette;;;;;;;;;;;;;
";";;;;;;;;;;;;;
mais;;;;;;;;;;;;;
je;;;;;;;;;;;;;
parlais;;;;;;;;;;;;;
toujours;;;;;;;;;;;;;
et;;;;;;;;;;;;;
je;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
mangeais;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Alors;;;;;;;;;;;;;
0;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
me;;;;;;;;;;;;;
faire;;;;;;;;;;;;;
taire;;;;;;;;;;;;;
0;;;;;;;;;;;;;
il;;;;;;;;;;;;;
se;;;;;;;;;;;;;
mit;;;;;;;;;;;;;
à;;;;;;;;;;;;;
bavarder;;;;;;;;;;;;;
0;;;;;;;;;;;;;
lui;;;;;;;;;;;;;
aussi;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
me;;;;;;;;;;;;;
narra;;;;;;;;;;;;;
longuement;;;;;;;;;;;;;
0;;;;;;;;;;;;;
sans;;;;;;;;;;;;;
prendre;;;;;;;;;;;;;
haleine;;;;;;;;;;;;;
0;;;;;;;;;;;;;
tout;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
il;;;;;;;;;;;;;
avait;;;;;;;;;;;;;
fait;;;;;;;;;;;;;
depuis;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
d';;;;;;;;;;;;;
un;;;;;;;;;;;;;
an;;;;;;;;;;;;;
que;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
étions;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
vus;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
«;;;;;;;;;;;;;
Quand;;;;;;;;;;;;;
tu;;;;;;;;;;;;;
fus;;;;;;;;;;;;;
parti;;;;;;;;;;;;;
0;;;;;;;;;;;;;
me;;;;;;;;;;;;;
disait;;;;;;;;;;;;;
-il;;;;;;;;;;;;;
--;;;;;;;;;;;;;
et;;;;;;;;;;;;;
les;;;;;;;;;;;;;
choses;;;;;;;;;;;;;
les;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
tristes;;;;;;;;;;;;;
0;;;;;;;;;;;;;
il;;;;;;;;;;;;;
les;;;;;;;;;;;;;
contait;;;;;;;;;;;;;
toujours;;;;;;;;;;;;;
avec;;;;;;;;;;;;;
son;;;;;;;;;;;;;
divin;;;;;;;;;;;;;
sourire;;;;;;;;;;;;;
résigné;;;;;;;;;;;;;
0;;;;;;;;;;;;;
0;;;;;;;;;;;;;
quand;;;;;;;;;;;;;
tu;;;;;;;;;;;;;
fus;;;;;;;;;;;;;
